id,name,name_en,name_ko,name_ja,name_zh_hans,name_zh_hant,name_es,name_ru,name_ar,flag,latitude,longitude,wikiDataId,translations,is_duplicated,country,country_code,country_name,state_code,fips_code,iso2,type
1449,Puerto Rico,Puerto Rico,푸에르토리코,プエルトリコ,Puerto Rico,,Puerto Rico,Пуэрто-Рико,بورتوريكو,1,18.220833000000000,-66.590149000000000,Q1183,"{'en': 'Puerto Rico', 'ko': '푸에르토리코', 'ja': 'プエルトリコ', 'zh-hans': '波多黎各', 'zh-hant': '波多黎各', 'es': 'Puerto Rico', 'ru': 'Пуэрто-Рико', 'ar': 'بورتوريكو'}",False,233,US,,,RQ,PR,outlying area
1448,Palmyra Atoll,Palmyra Atoll,팔미라 환초,パルミラ環礁,Palmyra Atoll,,Atolón Palmyra,Пальмира,جزر بالميرا المرجانية,1,5.888502600000000,-162.078665600000000,Q123076,"{'en': 'Palmyra Atoll', 'ko': '팔미라 환초', 'ja': 'パルミラ環礁', 'zh-hans': '巴尔米拉环礁', 'zh-hant': '巴美拉環礁', 'es': 'Atolón Palmyra', 'ru': 'Пальмира', 'ar': 'جزر بالميرا المرجانية'}",False,233,US,,,LQ,UM-95,islands / groups of islands
1447,North Carolina,North Carolina,노스캐롤라이나주,ノースカロライナ州,North Carolina,,Carolina del Norte,Северная Каролина,كارولاينا الشمالية,1,35.759573100000000,-79.019299700000000,Q1454,"{'en': 'North Carolina', 'ko': '노스캐롤라이나주', 'ja': 'ノースカロライナ州', 'zh-hans': '北卡罗来纳州', 'zh-hant': '北卡羅萊納州', 'es': 'Carolina del Norte', 'ru': 'Северная Каролина', 'ar': 'كارولاينا الشمالية'}",False,233,US,,,37,NC,state
1446,Montana,Montana,몬태나주,モンタナ州,Montana,,Montana,Монтана,مونتانا,1,46.879682200000000,-110.362565800000000,Q1212,"{'en': 'Montana', 'ko': '몬태나주', 'ja': 'モンタナ州', 'zh-hans': '蒙大拿州', 'zh-hant': '蒙大拿州', 'es': 'Montana', 'ru': 'Монтана', 'ar': 'مونتانا'}",False,233,US,,,30,MT,state
1445,South Dakota,South Dakota,사우스다코타주,サウスダコタ州,South Dakota,,Dakota del Sur,Южная Дакота,داكوتا الجنوبية,1,43.969514800000000,-99.901813100000000,Q1211,"{'en': 'South Dakota', 'ko': '사우스다코타주', 'ja': 'サウスダコタ州', 'zh-hans': '南达科他州', 'zh-hant': '南達科他州', 'es': 'Dakota del Sur', 'ru': 'Южная Дакота', 'ar': 'داكوتا الجنوبية'}",False,233,US,,,46,SD,state
1444,Arkansas,Arkansas,아칸소주,アーカンソー州,Arkansas,,Arkansas,Арканзас,أركنساس,1,35.201050000000000,-91.831833400000000,Q1612,"{'en': 'Arkansas', 'ko': '아칸소주', 'ja': 'アーカンソー州', 'zh-hans': '阿肯色州', 'zh-hant': '阿肯色州', 'es': 'Arkansas', 'ru': 'Арканзас', 'ar': 'أركنساس'}",False,233,US,,,05,AR,state
1443,South Carolina,South Carolina,사우스캐롤라이나주,サウスカロライナ州,South Carolina,,Carolina del Sur,Южная Каролина,كارولاينا الجنوبية,1,33.836081000000000,-81.163724500000000,Q1456,"{'en': 'South Carolina', 'ko': '사우스캐롤라이나주', 'ja': 'サウスカロライナ州', 'zh-hans': '南卡罗来纳州', 'zh-hant': '南卡羅萊納州', 'es': 'Carolina del Sur', 'ru': 'Южная Каролина', 'ar': 'كارولاينا الجنوبية'}",False,233,US,,,45,SC,state
1442,Wyoming,Wyoming,와이오밍주,ワイオミング州,Wyoming,,Wyoming,Вайоминг,وايومنغ,1,43.075967800000000,-107.290283900000000,Q1214,"{'en': 'Wyoming', 'ko': '와이오밍주', 'ja': 'ワイオミング州', 'zh-hans': '怀俄明州', 'zh-hant': '懷俄明州', 'es': 'Wyoming', 'ru': 'Вайоминг', 'ar': 'وايومنغ'}",False,233,US,,,56,WY,state
1441,Wisconsin,Wisconsin,위스콘신주,ウィスコンシン州,Wisconsin,,Wisconsin,Висконсин,ويسكونسن,1,43.784439700000000,-88.787867800000000,Q1537,"{'en': 'Wisconsin', 'ko': '위스콘신주', 'ja': 'ウィスコンシン州', 'zh-hans': '威斯康星州', 'zh-hant': '威斯康辛州', 'es': 'Wisconsin', 'ru': 'Висконсин', 'ar': 'ويسكونسن'}",False,233,US,,,55,WI,state
1440,Indiana,Indiana,인디애나주,インディアナ州,Indiana,,Indiana,Индиана,إنديانا,1,40.267194100000000,-86.134901900000000,Q1415,"{'en': 'Indiana', 'ko': '인디애나주', 'ja': 'インディアナ州', 'zh-hans': '印第安纳州', 'zh-hant': '印第安纳州', 'es': 'Indiana', 'ru': 'Индиана', 'ar': 'إنديانا'}",False,233,US,,,18,IN,state
